Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume
2022/6/30, 00:37:00.0, 3794.00, 3794.25, 3792.50, 3792.75, 521, 412, 3793.38, 3793.17, 3793.38, 340, 181
2022/6/30, 00:38:00.0, 3792.50, 3795.00, 3792.25, 3794.25, 479, 385, 3793.50, 3793.83, 3793.63, 231, 248
2022/6/30, 00:39:00.0, 3794.25, 3795.25, 3793.75, 3793.75, 219, 181, 3794.25, 3794.25, 3794.50, 107, 112
2022/6/30, 00:40:00.0, 3794.00, 3794.25, 3793.00, 3793.75, 200, 173, 3793.75, 3793.67, 3793.63, 88, 112
2022/6/30, 00:41:00.0, 3793.50, 3793.75, 3791.00, 3791.25, 546, 441, 3792.38, 3792.00, 3792.38, 356, 190
2022/6/30, 00:42:00.0, 3791.25, 3792.75, 3791.00, 3791.75, 360, 312, 3791.69, 3791.83, 3791.88, 199, 161
2022/6/30, 00:43:00.0, 3791.75, 3792.00, 3790.25, 3790.25, 328, 244, 3791.06, 3790.83, 3791.13, 258, 70
2022/6/30, 00:44:00.0, 3790.25, 3790.50, 3789.25, 3790.50, 610, 475, 3790.13, 3790.08, 3789.88, 400, 210
2022/6/30, 00:45:00.0, 3790.25, 3792.75, 3790.00, 3792.75, 315, 268, 3791.44, 3791.83, 3791.38, 118, 197
2022/6/30, 00:46:00.0, 3792.75, 3793.00, 3792.00, 3792.25, 162, 121, 3792.50, 3792.42, 3792.50, 80, 82
2022/6/30, 00:47:00.0, 3792.00, 3793.00, 3792.00, 3792.75, 133, 102, 3792.44, 3792.58, 3792.50, 50, 83
2022/6/30, 00:48:00.0, 3792.75, 3793.75, 3792.50, 3793.75, 215, 137, 3793.19, 3793.33, 3793.13, 61, 154
2022/6/30, 00:49:00.0, 3794.00, 3794.50, 3792.75, 3793.00, 249, 197, 3793.56, 3793.42, 3793.63, 124, 125
2022/6/30, 00:50:00.0, 3793.00, 3794.25, 3793.00, 3793.75, 164, 155, 3793.50, 3793.67, 3793.63, 66, 98
2022/6/30, 00:51:00.0, 3793.50, 3794.00, 3793.50, 3793.75, 120, 99, 3793.69, 3793.75, 3793.75, 73, 47
2022/6/30, 00:52:00.0, 3794.00, 3794.00, 3793.50, 3793.75, 113, 106, 3793.81, 3793.75, 3793.75, 63, 50
2022/6/30, 00:53:00.0, 3793.50, 3793.50, 3792.50, 3793.25, 140, 117, 3793.19, 3793.08, 3793.00, 84, 56
2022/6/30, 00:54:00.0, 3793.00, 3793.25, 3791.25, 3791.50, 217, 181, 3792.25, 3792.00, 3792.25, 132, 85
2022/6/30, 00:55:00.0, 3791.75, 3793.00, 3791.50, 3792.25, 143, 125, 3792.13, 3792.25, 3792.25, 55, 88
2022/6/30, 00:56:00.0, 3792.50, 3793.50, 3792.00, 3793.50, 190, 150, 3792.88, 3793.00, 3792.75, 71, 119
2022/6/30, 00:57:00.0, 3793.50, 3795.00, 3793.25, 3794.75, 356, 284, 3794.13, 3794.33, 3794.13, 159, 197
2022/6/30, 00:58:00.0, 3795.00, 3795.75, 3794.00, 3794.50, 774, 497, 3794.81, 3794.75, 3794.88, 380, 394
2022/6/30, 00:59:00.0, 3794.50, 3796.25, 3794.25, 3794.50, 514, 356, 3794.88, 3795.00, 3795.25, 266, 248
2022/6/30, 01:00:00.0, 3794.75, 3797.25, 3794.75, 3796.00, 630, 470, 3795.69, 3796.00, 3796.00, 287, 343
2022/6/30, 01:01:00.0, 3796.00, 3796.50, 3795.00, 3795.00, 209, 171, 3795.63, 3795.50, 3795.75, 115, 94
2022/6/30, 01:02:00.0, 3794.75, 3795.00, 3793.75, 3794.25, 348, 231, 3794.44, 3794.33, 3794.38, 167, 181
2022/6/30, 01:03:00.0, 3794.00, 3794.75, 3792.75, 3792.75, 295, 244, 3793.56, 3793.42, 3793.75, 174, 121
2022/6/30, 01:04:00.0, 3793.00, 3793.50, 3791.00, 3791.25, 284, 224, 3792.19, 3791.92, 3792.25, 166, 118
2022/6/30, 01:05:00.0, 3791.50, 3791.50, 3790.50, 3790.75, 335, 277, 3791.06, 3790.92, 3791.00, 217, 118
2022/6/30, 01:06:00.0, 3791.00, 3792.00, 3790.25, 3791.50, 258, 225, 3791.19, 3791.25, 3791.13, 123, 135
2022/6/30, 01:07:00.0, 3791.50, 3791.50, 3787.25, 3787.50, 1459, 897, 3789.44, 3788.75, 3789.38, 966, 493
2022/6/30, 01:08:00.0, 3787.25, 3789.00, 3786.25, 3787.00, 1152, 666, 3787.38, 3787.42, 3787.63, 628, 524
2022/6/30, 01:09:00.0, 3786.75, 3788.25, 3786.25, 3786.75, 620, 447, 3787.00, 3787.08, 3787.25, 343, 277
2022/6/30, 01:10:00.0, 3786.75, 3786.75, 3783.50, 3784.00, 935, 704, 3785.25, 3784.75, 3785.13, 621, 314
2022/6/30, 01:11:00.0, 3784.00, 3787.25, 3783.75, 3786.00, 1447, 806, 3785.25, 3785.67, 3785.50, 579, 868
2022/6/30, 01:12:00.0, 3786.00, 3788.00, 3785.50, 3787.75, 285, 221, 3786.81, 3787.08, 3786.75, 102, 183
2022/6/30, 01:13:00.0, 3788.00, 3789.50, 3787.75, 3789.00, 261, 248, 3788.56, 3788.75, 3788.63, 118, 143
2022/6/30, 01:14:00.0, 3789.00, 3790.00, 3788.50, 3789.25, 361, 318, 3789.19, 3789.25, 3789.25, 144, 217
2022/6/30, 01:15:00.0, 3789.25, 3790.25, 3789.00, 3790.00, 405, 354, 3789.63, 3789.75, 3789.63, 170, 235
2022/6/30, 01:16:00.0, 3790.00, 3790.25, 3788.00, 3790.00, 301, 285, 3789.56, 3789.42, 3789.13, 162, 139
2022/6/30, 01:17:00.0, 3790.00, 3791.00, 3789.75, 3790.25, 312, 300, 3790.25, 3790.33, 3790.38, 130, 182
2022/6/30, 01:18:00.0, 3790.50, 3790.75, 3788.75, 3789.00, 213, 173, 3789.75, 3789.50, 3789.75, 131, 82
2022/6/30, 01:19:00.0, 3788.75, 3789.75, 3788.00, 3789.00, 176, 170, 3788.88, 3788.92, 3788.88, 103, 73
2022/6/30, 01:20:00.0, 3789.00, 3789.50, 3787.75, 3788.25, 249, 220, 3788.63, 3788.50, 3788.63, 126, 123
2022/6/30, 01:21:00.0, 3788.25, 3788.25, 3786.00, 3786.50, 279, 251, 3787.25, 3786.92, 3787.13, 154, 125
2022/6/30, 01:22:00.0, 3786.75, 3788.25, 3786.50, 3787.00, 191, 182, 3787.13, 3787.25, 3787.38, 96, 95
2022/6/30, 01:23:00.0, 3787.00, 3788.50, 3786.50, 3787.50, 207, 175, 3787.38, 3787.50, 3787.50, 82, 125
2022/6/30, 01:24:00.0, 3787.75, 3788.00, 3787.00, 3787.75, 137, 116, 3787.63, 3787.58, 3787.50, 71, 66
2022/6/30, 01:25:00.0, 3788.00, 3788.25, 3786.00, 3786.25, 504, 440, 3787.13, 3786.83, 3787.13, 326, 178
2022/6/30, 01:26:00.0, 3786.25, 3786.50, 3784.50, 3785.75, 278, 263, 3785.75, 3785.58, 3785.50, 153, 125
2022/6/30, 01:27:00.0, 3786.00, 3786.25, 3782.00, 3782.50, 910, 634, 3784.19, 3783.58, 3784.13, 641, 269
2022/6/30, 01:28:00.0, 3782.50, 3783.75, 3781.75, 3781.75, 359, 309, 3782.44, 3782.42, 3782.75, 168, 191
2022/6/30, 01:29:00.0, 3781.75, 3782.50, 3781.00, 3782.25, 684, 517, 3781.88, 3781.92, 3781.75, 412, 272
2022/6/30, 01:30:00.0, 3782.00, 3782.75, 3778.50, 3778.50, 1154, 758, 3780.44, 3779.92, 3780.63, 926, 228
