date,time,symbol,open,high,low,close,volume
2022-03-29,12:37:00,SP:SPX,4594.99,4596.37,4594.5,4596.33,3312010
2022-03-29,12:38:00,SP:SPX,4596.42,4596.5,4594.26,4594.59,3152570
2022-03-29,12:39:00,SP:SPX,4594.67,4595.94,4594.53,4595.69,2697230
2022-03-29,12:40:00,SP:SPX,4595.82,4596.96,4595.82,4596.25,3102100
2022-03-29,12:41:00,SP:SPX,4596.24,4597.7,4596.14,4597.51,2848980
2022-03-29,12:42:00,SP:SPX,4597.28,4598.8,4597.14,4598.8,2792530
2022-03-29,12:43:00,SP:SPX,4598.84,4599.81,4598.79,4599.68,2666300
2022-03-29,12:44:00,SP:SPX,4599.62,4600.97,4599.55,4600.97,3177620
2022-03-29,12:45:00,SP:SPX,4601.03,4603.14,4601.01,4602.57,3813520
2022-03-29,12:46:00,SP:SPX,4602.7,4604.13,4602.7,4603.92,2860150
2022-03-29,12:47:00,SP:SPX,4603.8,4604.29,4601.84,4601.93,4702680
2022-03-29,12:48:00,SP:SPX,4601.96,4603.16,4601.7,4603.0,2973980
2022-03-29,12:49:00,SP:SPX,4602.97,4603.2,4602.55,4603.16,2941260
2022-03-29,12:50:00,SP:SPX,4603.17,4603.92,4601.95,4602.62,3662480
2022-03-29,12:51:00,SP:SPX,4602.75,4602.91,4600.39,4600.54,3474330
2022-03-29,12:52:00,SP:SPX,4600.54,4600.54,4599.43,4599.43,2796610
2022-03-29,12:53:00,SP:SPX,4599.43,4599.43,4597.4,4598.49,3708850
2022-03-29,12:54:00,SP:SPX,4598.47,4599.04,4598.26,4598.26,2973040
2022-03-29,12:55:00,SP:SPX,4598.3,4599.84,4598.3,4599.07,3580090
2022-03-29,12:56:00,SP:SPX,4599.08,4599.73,4598.91,4599.68,2345540
2022-03-29,12:57:00,SP:SPX,4599.86,4600.08,4599.29,4599.53,2865560
2022-03-29,12:58:00,SP:SPX,4599.56,4599.82,4598.58,4598.6,3214290
2022-03-29,12:59:00,SP:SPX,4598.63,4599.7,4598.33,4599.7,3147910
2022-03-29,13:00:00,SP:SPX,4599.91,4599.96,4597.5,4597.56,3216950
2022-03-29,13:01:00,SP:SPX,4597.56,4598.25,4595.37,4595.86,3964040
2022-03-29,13:02:00,SP:SPX,4595.99,4597.84,4595.41,4596.99,3596720
2022-03-29,13:03:00,SP:SPX,4596.97,4597.48,4595.81,4595.81,2833200
2022-03-29,13:04:00,SP:SPX,4595.79,4597.12,4594.99,4596.88,3202450
2022-03-29,13:05:00,SP:SPX,4596.94,4597.43,4596.57,4597.13,2792780
2022-03-29,13:06:00,SP:SPX,4597.18,4597.26,4596.32,4596.77,3473980
2022-03-29,13:07:00,SP:SPX,4596.74,4597.04,4595.46,4595.57,3080320
2022-03-29,13:08:00,SP:SPX,4595.48,4596.19,4595.39,4595.8,2340820
2022-03-29,13:09:00,SP:SPX,4595.84,4595.93,4593.75,4593.93,2737380
2022-03-29,13:10:00,SP:SPX,4593.93,4595.72,4593.93,4595.52,3358420
2022-03-29,13:11:00,SP:SPX,4595.42,4596.15,4595.26,4596.15,3179560
2022-03-29,13:12:00,SP:SPX,4596.26,4598.06,4596.26,4597.8,3122620
