"date","time","symbol","open","high","low","close","volume"
"2019-06-18","12:30:00","SP:SPX","2920.8","2922.31","2914.89","2916.38","3600"
"2019-06-18","13:30:00","SP:SPX","2916.38","2923.14","2916.31","2922.7","3600"
"2019-06-18","14:30:00","SP:SPX","2922.64","2923.49","2918.14","2920.23","3600"
"2019-06-18","15:30:00","SP:SPX","2920.21","2920.31","2915.04","2917.75","2400"
"2019-06-19","09:30:00","SP:SPX","2920.55","2922.93","2916.04","2917.14","3599"
"2019-06-19","10:30:00","SP:SPX","2917.03","2919.13","2916.11","2919.13","3600"
"2019-06-19","11:30:00","SP:SPX","2919.15","2920.27","2917.02","2917.68","3600"
"2019-06-19","12:30:00","SP:SPX","2917.69","2917.78","2914.34","2916.07","3600"
"2019-06-19","13:30:00","SP:SPX","2916.08","2929.77","2911.43","2921.34","3600"
"2019-06-19","14:30:00","SP:SPX","2921.36","2930.22","2918.67","2928.01","3598"
"2019-06-19","15:30:00","SP:SPX","2927.97","2931.74","2924.38","2926.46","2400"
"2019-06-20","09:30:00","SP:SPX","2949.6","2956.2","2948.32","2948.98","3599"
"2019-06-20","10:30:00","SP:SPX","2948.99","2949.8","2941.96","2942.19","3600"
"2019-06-20","11:30:00","SP:SPX","2942.27","2946.32","2931.5","2940.08","3600"
"2019-06-20","12:30:00","SP:SPX","2940.08","2947.18","2937.67","2947.11","3600"
"2019-06-20","13:30:00","SP:SPX","2947.1","2948.44","2944.08","2947.33","3600"
"2019-06-20","14:30:00","SP:SPX","2947.32","2952.42","2947.19","2951.88","3600"
"2019-06-20","15:30:00","SP:SPX","2951.88","2958.06","2950.53","2954.18","2400"
"2019-06-21","09:30:00","SP:SPX","2952.71","2954.02","2946.87","2951.59","3596"
"2019-06-21","10:30:00","SP:SPX","2951.61","2964.15","2951.06","2957.96","3600"
"2019-06-21","11:30:00","SP:SPX","2957.89","2960.32","2950.84","2952.76","3600"
"2019-06-21","12:30:00","SP:SPX","2952.75","2954.57","2950.96","2953.07","3600"
"2019-06-21","13:30:00","SP:SPX","2953.07","2955.93","2952.12","2953.47","3600"
"2019-06-21","14:30:00","SP:SPX","2953.51","2957.97","2953.03","2955.37","3600"
"2019-06-21","15:30:00","SP:SPX","2955.41","2958.08","2948.87","2950.46","2400"
"2019-06-24","09:30:00","SP:SPX","2951.42","2954.47","2948.16","2954.43","3599"
"2019-06-24","10:30:00","SP:SPX","2954.43","2954.92","2949.83","2952.92","3600"
"2019-06-24","11:30:00","SP:SPX","2952.92","2954.16","2950.61","2951.19","3600"
"2019-06-24","12:30:00","SP:SPX","2951.19","2951.93","2949.85","2949.98","3600"
"2019-06-24","13:30:00","SP:SPX","2949.97","2951.25","2946.88","2947.37","3600"
"2019-06-24","14:30:00","SP:SPX","2947.36","2949.03","2946.11","2947.12","3600"
"2019-06-24","15:30:00","SP:SPX","2947.11","2948.04","2944.05","2945.35","2400"
"2019-06-25","09:30:00","SP:SPX","2945.78","2946.52","2932.94","2937.04","3599"
"2019-06-25","10:30:00","SP:SPX","2937.03","2938.12","2931.43","2935.24","3600"
"2019-06-25","11:30:00","SP:SPX","2935.24","2936.97","2933.27","2934.34","3600"
"2019-06-25","12:30:00","SP:SPX","2934.35","2934.94","2922.59","2930.38","3592"
"2019-06-25","13:30:00","SP:SPX","2930.29","2933.62","2923.88","2924.09","3591"
"2019-06-25","14:30:00","SP:SPX","2924.07","2924.78","2916.88","2922.61","3600"
"2019-06-25","15:30:00","SP:SPX","2922.46","2923.01","2916.01","2917.38","2400"
"2019-06-26","09:30:00","SP:SPX","2926.07","2932.59","2919.65","2921.8","3599"
"2019-06-26","10:30:00","SP:SPX","2921.87","2927.13","2921.39","2923.81","3600"
"2019-06-26","11:30:00","SP:SPX","2924.01","2924.92","2920.63","2923.18","3600"
"2019-06-26","12:30:00","SP:SPX","2923.18","2925.86","2919.55","2919.56","3600"
"2019-06-26","13:30:00","SP:SPX","2919.56","2920.65","2916.49","2919.1","3600"
"2019-06-26","14:30:00","SP:SPX","2919.09","2919.19","2912.99","2916.12","3600"
"2019-06-26","15:30:00","SP:SPX","2916.11","2919.74","2913.64","2913.78","2400"
"2019-06-27","09:30:00","SP:SPX","2919.66","2928.47","2919.66","2925.1","3599"
"2019-06-27","10:30:00","SP:SPX","2925.11","2927.0","2918.57","2919.95","3598"
"2019-06-27","11:30:00","SP:SPX","2919.96","2926.75","2918.85","2925.19","3600"
"2019-06-27","12:30:00","SP:SPX","2925.16","2928.01","2925.16","2927.85","3600"
"2019-06-27","13:30:00","SP:SPX","2927.86","2929.19","2927.05","2928.16","3600"
"2019-06-27","14:30:00","SP:SPX","2928.16","2929.3","2924.58","2925.63","3600"
"2019-06-27","15:30:00","SP:SPX","2925.63","2927.92","2923.67","2924.92","2400"
"2019-06-28","09:30:00","SP:SPX","2932.94","2937.13","2929.22","2929.86","3599"
"2019-06-28","10:30:00","SP:SPX","2929.87","2933.93","2929.05","2933.02","3600"
"2019-06-28","11:30:00","SP:SPX","2932.92","2940.45","2932.42","2939.2","3600"
"2019-06-28","12:30:00","SP:SPX","2939.19","2940.03","2935.66","2936.32","3600"
"2019-06-28","13:30:00","SP:SPX","2936.3","2937.35","2933.59","2934.67","3600"
"2019-06-28","14:30:00","SP:SPX","2934.67","2935.58","2931.68","2931.85","3600"
"2019-06-28","15:30:00","SP:SPX","2931.85","2943.98","2931.13","2941.76","2400"
"2019-07-01","09:30:00","SP:SPX","2971.41","2977.93","2965.71","2965.92","3599"
"2019-07-01","10:30:00","SP:SPX","2965.93","2969.28","2961.7","2961.78","3600"
"2019-07-01","11:30:00","SP:SPX","2961.83","2966.6","2960.32","2961.14","3600"
"2019-07-01","12:30:00","SP:SPX","2961.14","2961.5","2953.66","2957.23","3600"
"2019-07-01","13:30:00","SP:SPX","2957.18","2957.75","2952.45","2952.71","3600"
"2019-07-01","14:30:00","SP:SPX","2952.71","2961.32","2952.22","2960.48","3600"
"2019-07-01","15:30:00","SP:SPX","2960.47","2966.35","2960.47","2964.33","2400"
"2019-07-02","09:30:00","SP:SPX","2964.66","2967.61","2959.88","2967.6","3599"
"2019-07-02","10:30:00","SP:SPX","2967.62","2969.87","2964.29","2964.6","3600"
"2019-07-02","11:30:00","SP:SPX","2964.61","2964.7","2958.22","2958.73","3600"
"2019-07-02","12:30:00","SP:SPX","2958.72","2963.07","2955.92","2963.0","3600"
"2019-07-02","13:30:00","SP:SPX","2963.02","2966.58","2962.16","2965.76","3600"
"2019-07-02","14:30:00","SP:SPX","2965.76","2968.14","2963.25","2966.24","3600"
"2019-07-02","15:30:00","SP:SPX","2966.21","2973.21","2966.14","2973.01","2400"
"2019-07-03","09:30:00","SP:SPX","2978.08","2984.53","2977.96","2984.34","3599"
"2019-07-03","10:30:00","SP:SPX","2984.35","2988.33","2984.01","2986.21","3600"
"2019-07-03","11:30:00","SP:SPX","2986.14","2993.0","2985.91","2992.33","3600"
"2019-07-03","12:30:00","SP:SPX","2992.32","2995.84","2991.01","2995.47","1800"
"2019-07-05","09:30:00","SP:SPX","2984.25","2984.25","2972.57","2972.59","3599"
"2019-07-05","10:30:00","SP:SPX","2972.59","2978.1","2967.97","2977.71","3600"
"2019-07-05","11:30:00","SP:SPX","2977.72","2983.41","2974.23","2982.4","3600"
"2019-07-05","12:30:00","SP:SPX","2982.4","2987.4","2982.4","2987.38","3600"
"2019-07-05","13:30:00","SP:SPX","2987.4","2989.57","2986.93","2988.41","3600"
"2019-07-05","14:30:00","SP:SPX","2988.41","2994.03","2988.36","2991.15","3600"
"2019-07-05","15:30:00","SP:SPX","2991.17","2992.15","2984.76","2990.41","2400"
"2019-07-08","09:30:00","SP:SPX","2979.77","2980.76","2972.22","2975.79","3599"
"2019-07-08","10:30:00","SP:SPX","2975.79","2977.95","2972.66","2975.39","3600"
"2019-07-08","11:30:00","SP:SPX","2975.39","2975.7","2971.1","2971.68","3600"
"2019-07-08","12:30:00","SP:SPX","2971.44","2974.84","2971.44","2973.68","3600"
"2019-07-08","13:30:00","SP:SPX","2973.68","2975.6","2970.09","2972.4","3600"
"2019-07-08","14:30:00","SP:SPX","2972.4","2977.27","2972.31","2975.91","3600"
"2019-07-08","15:30:00","SP:SPX","2975.91","2978.52","2975.43","2975.95","2400"
"2019-07-09","09:30:00","SP:SPX","2965.52","2971.16","2963.44","2970.64","3599"
"2019-07-09","10:30:00","SP:SPX","2970.63","2975.71","2970.37","2973.36","3600"
"2019-07-09","11:30:00","SP:SPX","2973.33","2974.92","2971.76","2974.35","3600"
"2019-07-09","12:30:00","SP:SPX","2974.37","2975.47","2972.92","2974.42","3600"
"2019-07-09","13:30:00","SP:SPX","2974.42","2976.4","2973.78","2975.61","3600"
"2019-07-09","14:30:00","SP:SPX","2975.63","2976.1","2972.44","2973.54","3600"
"2019-07-09","15:30:00","SP:SPX","2973.54","2981.9","2973.32","2979.63","2400"
"2019-07-10","09:30:00","SP:SPX","2989.3","3002.98","2989.3","2992.99","3599"
"2019-07-10","10:30:00","SP:SPX","2992.98","2997.1","2984.62","2986.97","3600"
"2019-07-10","11:30:00","SP:SPX","2987.02","2994.34","2986.74","2991.64","3600"
"2019-07-10","12:30:00","SP:SPX","2991.64","2995.58","2991.62","2994.64","3600"
"2019-07-10","13:30:00","SP:SPX","2994.63","2999.02","2991.03","2991.05","3600"
"2019-07-10","14:30:00","SP:SPX","2991.07","2993.04","2989.68","2991.22","3600"
"2019-07-10","15:30:00","SP:SPX","2991.22","2994.21","2990.98","2993.07","2400"
"2019-07-11","09:30:00","SP:SPX","2999.62","3002.33","2994.77","2995.49","3599"
"2019-07-11","10:30:00","SP:SPX","2995.53","3000.47","2992.01","2999.79","3600"
"2019-07-11","11:30:00","SP:SPX","2999.76","3001.85","2999.11","3000.02","3600"
"2019-07-11","12:30:00","SP:SPX","3000.01","3000.45","2993.86","2994.18","3600"
"2019-07-11","13:30:00","SP:SPX","2994.17","2994.78","2988.8","2990.47","3600"
"2019-07-11","14:30:00","SP:SPX","2990.48","2995.5","2990.37","2994.34","3600"
"2019-07-11","15:30:00","SP:SPX","2994.31","2999.91","2994.18","2999.91","2400"
"2019-07-12","09:30:00","SP:SPX","3003.36","3006.65","3002.41","3004.53","3599"
"2019-07-12","10:30:00","SP:SPX","3004.5","3006.56","3001.87","3006.5","3600"
"2019-07-12","11:30:00","SP:SPX","3006.5","3006.95","3004.48","3005.21","3600"
"2019-07-12","12:30:00","SP:SPX","3005.21","3007.79","3004.51","3007.08","3600"
"2019-07-12","13:30:00","SP:SPX","3007.07","3008.54","3005.69","3008.01","3600"
