"date","time","symbol","open","high","low","close","volume"
"2021-11-02","05:30:00","CME_MINI:NQ1!","15866.25","15870.75","15851.75","15863.25","2286"
"2021-11-02","06:00:00","CME_MINI:NQ1!","15863.25","15869.0","15857.5","15862.5","2037"
"2021-11-02","06:30:00","CME_MINI:NQ1!","15863.0","15871.25","15861.75","15866.0","1445"
"2021-11-02","07:00:00","CME_MINI:NQ1!","15865.75","15871.0","15857.75","15866.5","2278"
"2021-11-02","07:30:00","CME_MINI:NQ1!","15865.75","15877.0","15863.0","15866.25","2565"
"2021-11-02","08:00:00","CME_MINI:NQ1!","15865.75","15872.5","15861.0","15868.0","2440"
"2021-11-02","08:30:00","CME_MINI:NQ1!","15867.5","15885.0","15865.5","15868.5","4774"
"2021-11-02","09:00:00","CME_MINI:NQ1!","15868.5","15876.0","15865.5","15865.5","3854"
"2021-11-02","09:30:00","CME_MINI:NQ1!","15865.75","15968.25","15864.0","15955.75","68886"
"2021-11-02","10:00:00","CME_MINI:NQ1!","15956.0","15961.5","15894.5","15947.5","47292"
"2021-11-02","10:30:00","CME_MINI:NQ1!","15947.75","15962.25","15933.5","15951.0","29988"
"2021-11-02","11:00:00","CME_MINI:NQ1!","15950.75","15967.0","15933.5","15955.25","24154"
"2021-11-02","11:30:00","CME_MINI:NQ1!","15955.0","15980.25","15936.0","15939.25","25963"
"2021-11-02","12:00:00","CME_MINI:NQ1!","15939.5","15943.0","15912.0","15939.75","22963"
"2021-11-02","12:30:00","CME_MINI:NQ1!","15939.5","15957.75","15924.25","15953.75","16431"
"2021-11-02","13:00:00","CME_MINI:NQ1!","15954.0","15959.25","15932.5","15933.75","16253"
"2021-11-02","13:30:00","CME_MINI:NQ1!","15934.5","15943.25","15923.25","15937.5","13169"
"2021-11-02","14:00:00","CME_MINI:NQ1!","15937.5","15940.25","15907.25","15919.5","17486"
"2021-11-02","14:30:00","CME_MINI:NQ1!","15919.5","15951.75","15905.25","15949.5","17946"
"2021-11-02","15:00:00","CME_MINI:NQ1!","15949.5","15963.0","15941.25","15954.25","15790"
"2021-11-02","15:30:00","CME_MINI:NQ1!","15954.25","15978.75","15942.25","15962.0","33562"
"2021-11-02","16:00:00","CME_MINI:NQ1!","15962.25","15962.75","15952.25","15960.0","5865"
"2021-11-02","16:30:00","CME_MINI:NQ1!","15959.75","15961.75","15957.5","15959.25","1261"
