date,time,open,high,low,close,volume
2021-06-07,10:00:00,13754.75,13757.25,13712.5,13752.25,65144
2021-06-07,11:00:00,13752.25,13753.5,13717,13740.5,47505
2021-06-07,12:00:00,13740.5,13764.25,13740,13758,24841
2021-06-07,13:00:00,13758,13766,13732.75,13739,25373
2021-06-07,14:00:00,13739,13785.75,13737.75,13778.25,24562
2021-06-07,15:00:00,13778.25,13808.5,13776,13802.5,45044
2021-06-07,16:00:00,13802.5,13824,13801,13822.75,7835
2021-06-07,18:00:00,13823,13826.25,13812,13814.5,2414
2021-06-07,19:00:00,13814,13834.5,13814,13822.25,3610
2021-06-07,20:00:00,13822.75,13846.25,13820,13844.75,5962
2021-06-07,21:00:00,13845,13865.5,13843.75,13853,5879
2021-06-07,22:00:00,13854,13857.75,13829.5,13834,3935
2021-06-07,23:00:00,13834,13841,13826,13834.25,3081
2021-06-08,00:00:00,13834.25,13838.5,13829.25,13837.75,1935
2021-06-08,01:00:00,13838,13839.75,13819,13820,4377
2021-06-08,02:00:00,13820.75,13836.75,13819.5,13825.5,3955
2021-06-08,03:00:00,13825.25,13829,13790.75,13801.75,10902
2021-06-08,04:00:00,13801.25,13833.5,13798.5,13833,6600
2021-06-08,05:00:00,13832.75,13849.75,13822.75,13846,7231
2021-06-08,06:00:00,13846,13847.75,13785.5,13843.5,24923
2021-06-08,07:00:00,13843.75,13878,13836.25,13875,11261
2021-06-08,08:00:00,13875.25,13896.75,13870.25,13876.25,17259
2021-06-08,09:00:00,13877,13917.25,13831.5,13839.5,79226
2021-06-08,10:00:00,13839.5,13855,13797.5,13808.25,74443
2021-06-08,11:00:00,13808.25,13825,13741.75,13783.25,79367
2021-06-08,12:00:00,13783.25,13824.5,13777.5,13822.5,34202
2021-06-08,13:00:00,13822.25,13822.75,13794,13800.5,25685
2021-06-08,14:00:00,13800.25,13833,13794.25,13829.5,23693
2021-06-08,15:00:00,13829.75,13838,13806.5,13809,40049
2021-06-08,16:00:00,13809,13818.5,13806.25,13812.75,5561
2021-06-08,18:00:00,13813,13822.5,13803.5,13821.25,1954
2021-06-08,19:00:00,13821.25,13824,13812.75,13817.5,1521
2021-06-08,20:00:00,13817.5,13833.75,13808.25,13831,4341
2021-06-08,21:00:00,13831,13832.25,13806,13820,3855
2021-06-08,22:00:00,13820.75,13826.25,13809.75,13826,1815
2021-06-08,23:00:00,13826.75,13831.5,13819,13820.5,1787
2021-06-09,00:00:00,13821,13824,13814,13816.75,1338
2021-06-09,01:00:00,13816.5,13825,13809.75,13816,1945
2021-06-09,02:00:00,13815.75,13828.5,13808.75,13826,3465
2021-06-09,03:00:00,13825.5,13845.25,13813.25,13820.5,7939
2021-06-09,04:00:00,13820.75,13842.25,13819.25,13834,7701
2021-06-09,05:00:00,13834,13835.75,13816.25,13827.25,5439
2021-06-09,06:00:00,13827.5,13854,13826.75,13851.5,5732
2021-06-09,07:00:00,13851.75,13864,13829.25,13857.25,9922
2021-06-09,08:00:00,13857.75,13871.75,13842,13861.75,10860
2021-06-09,09:00:00,13861.5,13904.25,13843.25,13872.25,77603
2021-06-09,10:00:00,13872.5,13880,13825.25,13847.25,59247
2021-06-09,11:00:00,13847.25,13866,13817.25,13830,33316
2021-06-09,12:00:00,13830,13869,13825.25,13867.75,26129
2021-06-09,13:00:00,13867.75,13876.25,13855.25,13860.5,24834
2021-06-09,14:00:00,13860.75,13870.5,13839.25,13840.5,26261
2021-06-09,15:00:00,13840.25,13844.5,13808.5,13815.75,45521
2021-06-09,16:00:00,13815.75,13820.75,13809.75,13811.5,7951
2021-06-09,18:00:00,13817,13824,13814.25,13818,1825
2021-06-09,19:00:00,13818,13825.5,13811.25,13815.25,2348
2021-06-09,20:00:00,13815,13828.5,13813.75,13824.75,2565
2021-06-09,21:00:00,13825,13837.25,13821,13829.5,3464
2021-06-09,22:00:00,13830.75,13839.5,13827.25,13829.75,2158
2021-06-09,23:00:00,13829.75,13834.75,13825.25,13833.5,1484
2021-06-10,00:00:00,13833.75,13836,13828.5,13830.25,1286
2021-06-10,01:00:00,13830.75,13831.5,13816.5,13820.5,2795
2021-06-10,02:00:00,13820.25,13822.25,13786.75,13802.25,5541
2021-06-10,03:00:00,13802.75,13806.75,13773.5,13801.5,10245
2021-06-10,04:00:00,13801.25,13803.25,13764.25,13787.25,9573
2021-06-10,05:00:00,13787.5,13794.25,13769,13782.25,6757
2021-06-10,06:00:00,13781.75,13788.5,13765.5,13773,5317
2021-06-10,07:00:00,13772.5,13797,13746,13776.25,13221
2021-06-10,08:00:00,13776.25,13835.5,13726,13828.75,42610
2021-06-10,09:00:00,13829.25,13964.75,13811.25,13943.75,85371
2021-06-10,10:00:00,13944.25,13960.5,13825.75,13867,83191
2021-06-10,11:00:00,13866.75,13923,13848,13920.75,53921
2021-06-10,12:00:00,13920.75,13945.25,13913.25,13944.25,33846
2021-06-10,13:00:00,13944.25,13959,13921.5,13958.25,26881
2021-06-10,14:00:00,13958.25,13959.75,13935.25,13956.75,22865
2021-06-10,15:00:00,13957,13964,13930.5,13959.75,37100
2021-06-10,16:00:00,13959.75,13976.5,13957,13973.5,8677
2021-06-10,18:00:00,13967,13969.75,13957,13959.75,944
2021-06-10,19:00:00,13959.75,13961.5,13953,13958.75,984
2021-06-10,20:00:00,13959.25,13973,13954.25,13968.25,2628
2021-06-10,21:00:00,13968.75,13977.5,13963.75,13972,1930
2021-06-10,22:00:00,13972,13972.5,13960.75,13968.25,1101
2021-06-10,23:00:00,13968.5,13971.75,13963.75,13968.25,641
2021-06-11,00:00:00,13968.5,13971.25,13965.5,13966.5,351
2021-06-11,01:00:00,13966.75,13967.75,13959.75,13967,820
2021-06-11,02:00:00,13967.5,13967.5,13949.75,13963.25,1847
2021-06-11,03:00:00,13963,13964.25,13944.5,13945.75,2898
2021-06-11,04:00:00,13945.5,13959.75,13940,13957.75,2450
2021-06-11,05:00:00,13958.25,13959.25,13945.25,13951.25,1887
2021-06-11,06:00:00,13951.75,13989.25,13943,13987.25,3897
